"","ENSP00000196371.5","ENSP00000216500.5","ENSP00000218758.4","ENSP00000221859.3","ENSP00000231887.3","ENSP00000233596.2","ENSP00000247833.7","ENSP00000260447.4","ENSP00000264039.2","ENSP00000266087.7","ENSP00000273588.3","ENSP00000280871.4","ENSP00000336831.3","ENSP00000347484.3","ENSP00000353679.2","ENSP00000356257.4","ENSP00000364114.3","ENSP00000364635.4","ENSP00000366757.4","ENSP00000370517.4","ENSP00000388631.2"
"ENSP00000196371.5",0,5.82201035325364e-08,5.77268118254314e-08,2.68786947653266e-08,9.09514793510939e-08,2.92863798449032e-08,2.93306780767715e-09,6.86074050799107e-08,1.06547071510951e-07,1.50909898788734e-08,4.42137870483869e-08,9.46380648749824e-09,1.78707470594623e-08,4.59242001892733e-09,1.17562238105023e-07,6.92214764765041e-08,9.77309257396642e-09,5.46539583393304e-08,3.37590414781102e-08,1.55452464116636e-07,6.33452964495685e-08
"ENSP00000216500.5",5.82201035325364e-08,0,3.21571408089912e-08,1.49761472730558e-08,4.62953007858039e-08,1.63339661508354e-08,1.63586727149007e-09,3.7046676939315e-08,3.18287055273706e-08,8.41673566926084e-09,2.22554557027746e-08,5.27827255002141e-09,9.95661747806638e-09,2.56100719842988e-09,5.07971025126247e-08,3.7559687972585e-08,5.45077145545287e-09,3.04343265311578e-08,1.88079536427818e-08,5.64548884907844e-08,3.48794598511428e-08
"ENSP00000218758.4",5.77268118254314e-08,3.21571408089912e-08,0,1.49622048970836e-08,4.88176469507998e-08,1.67820515392348e-08,1.68074358719603e-09,3.83314241804926e-08,3.74399201105763e-08,8.64762976054206e-09,2.28659837533713e-08,5.42307000973287e-09,9.93249738406723e-09,2.62176699553642e-09,5.38290070218949e-08,3.89643119421828e-08,5.60030103217283e-09,3.02635209878643e-08,1.87406533768355e-08,6.02195205291746e-08,3.45823360756273e-08
"ENSP00000221859.3",2.68786947653266e-08,1.49761472730558e-08,1.49622048970836e-08,0,2.13918915485335e-08,8.93265497558028e-09,8.94616640387573e-10,1.71110283607073e-08,1.74063569233493e-08,4.60291120110602e-09,1.21709758231027e-08,2.8865608708272e-09,4.73965833689662e-09,1.37802082288478e-09,2.34173037253933e-08,1.74420774433386e-08,2.98089639176899e-09,1.42573212058965e-08,8.90158615465181e-09,2.61235867741219e-08,1.60991482335756e-08
"ENSP00000231887.3",9.09514793510939e-08,4.62953007858039e-08,4.88176469507998e-08,2.13918915485335e-08,0,2.33847844890275e-08,2.34201560375416e-09,5.72976377253153e-08,6.70204459528756e-08,1.20499545492635e-08,3.19055988767207e-08,7.55672351202267e-09,1.42202963231258e-08,3.66541277310254e-09,8.71914235720242e-08,5.86353530380069e-08,7.80368433530694e-09,4.34558985011568e-08,2.68594965846025e-08,1.00830185558022e-07,4.97912363805066e-08
"ENSP00000233596.2",2.92863798449032e-08,1.63339661508354e-08,1.67820515392348e-08,8.93265497558028e-09,2.33847844890275e-08,0,1.55052803832064e-09,1.86749513367528e-08,3.01682790552355e-08,7.97765495634316e-09,2.10944424857419e-08,5.00291785607499e-09,5.75473889915446e-09,2.30977235186757e-09,2.5372882601709e-08,1.94248153893969e-08,5.16641791143552e-09,1.63878585854427e-08,1.06013568697773e-08,2.87108532055314e-08,1.75256152657278e-08
"ENSP00000247833.7",2.93306780767715e-09,1.63586727149007e-09,1.68074358719603e-09,8.94616640387573e-10,2.34201560375416e-09,1.55052803832064e-09,0,1.87031988473302e-09,3.02139112374217e-09,7.98972186290153e-10,2.11263496900231e-09,5.01048521046909e-10,5.76344344916871e-10,2.31326608621603e-10,2.54112613239208e-09,1.9454197135474e-09,5.17423257408011e-10,1.64126466665674e-09,1.0617392356827e-09,2.87542809026101e-09,1.75521243041541e-09
"ENSP00000260447.4",6.86074050799107e-08,3.7046676939315e-08,3.83314241804926e-08,1.71110283607073e-08,5.72976377253153e-08,1.86749513367528e-08,1.87031988473302e-09,0,4.51398092561879e-08,9.62302282166283e-09,2.58532207011967e-08,6.03475494582963e-09,1.13755520026619e-08,2.92779382580054e-09,6.45262064119577e-08,4.55636046734802e-08,6.23197640660821e-09,3.47705596134139e-08,2.14877185957925e-08,7.28927926822128e-08,3.99410480924738e-08
"ENSP00000264039.2",1.06547071510951e-07,3.18287055273706e-08,3.74399201105763e-08,1.74063569233493e-08,6.70204459528756e-08,3.01682790552355e-08,3.02139112374217e-09,4.51398092561879e-08,0,1.55454240604893e-08,4.57076610797321e-08,9.74878959269124e-09,1.12138036847054e-08,4.50087035469307e-09,8.78435373410418e-08,4.73802263616787e-08,1.0067389194755e-08,3.19337214442293e-08,2.06580240758887e-08,1.21047320086188e-07,3.4956343792711e-08
"ENSP00000266087.7",1.50909898788734e-08,8.41673566926084e-09,8.64762976054206e-09,4.60291120110602e-09,1.20499545492635e-08,7.97765495634316e-09,7.98972186290153e-10,9.62302282166283e-09,1.55454240604893e-08,0,1.08697633418222e-08,2.57795545679239e-09,2.96536160982058e-09,1.19020347919859e-09,1.30744023866395e-08,1.00094205563406e-08,2.66220546289447e-09,8.44450592251554e-09,5.46277723881865e-09,1.47944265366038e-08,9.03078099774614e-09
"ENSP00000273588.3",4.42137870483869e-08,2.22554557027746e-08,2.28659837533713e-08,1.21709758231027e-08,3.19055988767207e-08,2.10944424857419e-08,2.11263496900231e-09,2.58532207011967e-08,4.57076610797321e-08,1.08697633418222e-08,0,6.8166063099624e-09,7.84098212696586e-09,3.1471251859949e-09,3.64531702249995e-08,2.67264197427801e-08,7.03937940780498e-09,2.23288855531882e-08,1.44446257587332e-08,4.30055561326935e-08,2.40998339933352e-08
"ENSP00000280871.4",9.46380648749824e-09,5.27827255002141e-09,5.42307000973287e-09,2.8865608708272e-09,7.55672351202267e-09,5.00291785607499e-09,5.01048521046909e-10,6.03475494582963e-09,9.74878959269124e-09,2.57795545679239e-09,6.8166063099624e-09,0,1.85962674854655e-09,7.46396061377748e-10,8.19917150034418e-09,6.27707128276639e-09,1.66951257227102e-09,5.29568772987514e-09,3.4257969217026e-09,9.27782676681375e-09,5.66335041502433e-09
"ENSP00000336831.3",1.78707470594623e-08,9.95661747806638e-09,9.93249738406723e-09,4.73965833689662e-09,1.42202963231258e-08,5.75473889915446e-09,5.76344344916871e-10,1.13755520026619e-08,1.12138036847054e-08,2.96536160982058e-09,7.84098212696586e-09,1.85962674854655e-09,0,8.90289652995712e-10,1.5573937037073e-08,1.15831809856068e-08,1.92040109765325e-09,9.45186062729971e-09,5.88944114316815e-09,1.7360776324908e-08,1.07042873526408e-08
"ENSP00000347484.3",4.59242001892733e-09,2.56100719842988e-09,2.62176699553642e-09,1.37802082288478e-09,3.66541277310254e-09,2.30977235186757e-09,2.31326608621603e-10,2.92779382580054e-09,4.50087035469307e-09,1.19020347919859e-09,3.1471251859949e-09,7.46396061377748e-10,8.90289652995712e-10,0,3.98165581509033e-09,3.03739636658981e-09,7.7078898584041e-10,2.55228357560655e-09,1.64389286992981e-09,4.49709912840302e-09,2.7485260388972e-09
"ENSP00000353679.2",1.17562238105023e-07,5.07971025126247e-08,5.38290070218949e-08,2.34173037253933e-08,8.71914235720242e-08,2.5372882601709e-08,2.54112613239208e-09,6.45262064119577e-08,8.78435373410418e-08,1.30744023866395e-08,3.64531702249995e-08,8.19917150034418e-09,1.5573937037073e-08,3.98165581509033e-09,0,6.54206142886089e-08,8.4671281274131e-09,4.76539127633933e-08,2.94268776553597e-08,1.29681436463525e-07,5.51595517837395e-08
"ENSP00000356257.4",6.92214764765041e-08,3.7559687972585e-08,3.89643119421828e-08,1.74420774433386e-08,5.86353530380069e-08,1.94248153893969e-08,1.9454197135474e-09,4.55636046734802e-08,4.73802263616787e-08,1.00094205563406e-08,2.67264197427801e-08,6.27707128276639e-09,1.15831809856068e-08,3.03739636658981e-09,6.54206142886089e-08,0,6.48221186907205e-09,3.5322135004426e-08,2.18616852275377e-08,7.3894596218178e-08,4.04603052011037e-08
"ENSP00000364114.3",9.77309257396642e-09,5.45077145545287e-09,5.60030103217283e-09,2.98089639176899e-09,7.80368433530694e-09,5.16641791143552e-09,5.17423257408011e-10,6.23197640660821e-09,1.0067389194755e-08,2.66220546289447e-09,7.03937940780498e-09,1.66951257227102e-09,1.92040109765325e-09,7.7078898584041e-10,8.4671281274131e-09,6.48221186907205e-09,0,5.46875577974432e-09,3.53775518335428e-09,9.58103486129754e-09,5.84843402683261e-09
"ENSP00000364635.4",5.46539583393304e-08,3.04343265311578e-08,3.02635209878643e-08,1.42573212058965e-08,4.34558985011568e-08,1.63878585854427e-08,1.64126466665674e-09,3.47705596134139e-08,3.19337214442293e-08,8.44450592251554e-09,2.23288855531882e-08,5.29568772987514e-09,9.45186062729971e-09,2.55228357560655e-09,4.76539127633933e-08,3.5322135004426e-08,5.46875577974432e-09,0,1.78151590235812e-08,5.30442180874531e-08,3.27266743231735e-08
"ENSP00000366757.4",3.37590414781102e-08,1.88079536427818e-08,1.87406533768355e-08,8.90158615465181e-09,2.68594965846025e-08,1.06013568697773e-08,1.0617392356827e-09,2.14877185957925e-08,2.06580240758887e-08,5.46277723881865e-09,1.44446257587332e-08,3.4257969217026e-09,5.88944114316815e-09,1.64389286992981e-09,2.94268776553597e-08,2.18616852275377e-08,3.53775518335428e-09,1.78151590235812e-08,0,3.27840735199935e-08,2.02218510676096e-08
"ENSP00000370517.4",1.55452464116636e-07,5.64548884907844e-08,6.02195205291746e-08,2.61235867741219e-08,1.00830185558022e-07,2.87108532055314e-08,2.87542809026101e-09,7.28927926822128e-08,1.21047320086188e-07,1.47944265366038e-08,4.30055561326935e-08,9.27782676681375e-09,1.7360776324908e-08,4.49709912840302e-09,1.29681436463525e-07,7.3894596218178e-08,9.58103486129754e-09,5.30442180874531e-08,3.27840735199935e-08,0,6.13792569583183e-08
"ENSP00000388631.2",6.33452964495685e-08,3.48794598511428e-08,3.45823360756273e-08,1.60991482335756e-08,4.97912363805066e-08,1.75256152657278e-08,1.75521243041541e-09,3.99410480924738e-08,3.4956343792711e-08,9.03078099774614e-09,2.40998339933352e-08,5.66335041502433e-09,1.07042873526408e-08,2.7485260388972e-09,5.51595517837395e-08,4.04603052011037e-08,5.84843402683261e-09,3.27266743231735e-08,2.02218510676096e-08,6.13792569583183e-08,0
