"","X1.oleoyl.2.docosahexaenoyl.GPC..18.1.22.6..","X1.palmitoyl.2.stearoyl.GPC..16.0.18.0.","X3.acetylphenol.sulfate","X3.hydroxycotinine.glucuronide","X4.acetamidophenol","X4.methylbenzenesulfonate","X5.acetylamino.6.amino.3.methyluracil","X5.acetylamino.6.formylamino.3.methyluracil","X5.hydroxyhexanoate","X5.hydroxyindole.sulfate","androstenediol..3beta.17beta..monosulfate..2.","androsterone.glucuronide","aspartate","beta.sitosterol","citrulline","diacylglycerol..14.0.18.1..16.0.16.1...1..","dodecenedioate..C12.1.DC..","gulonate.","N4.acetylcytidine","N.acetylputrescine","N.formylmethionine","N.methylpipecolate","octadecanedioylcarnitine..C18.DC..","oleoyl.arachidonoyl.glycerol..18.1.20.4...2..","palmitoyl.arachidonoyl.glycerol..16.0.20.4...1..","p.cresol.glucuronide.","phenylacetate","phenylacetylglutamate","X...12212...retired.for.4.allylcatechol.sulfate","X...12216","X...12812","X...13553","X...13728","X...16580","X...17327...retired.for.glutamine.conjugate.of.C7H12O2.","X...17335","X...18888","X...21735...retired.for.tetradecadienedioate..C14.2.DC..","X...24748","Sclerostin","Cystatin.C","Growth.differentiation.factor.11.8","C.C.motif.chemokine.14","von.Willebrand.factor","Hyaluronan.and.proteoglycan.link.protein.1","Biglycan","Alanine.aminotransferase.1","Carbonic.anhydrase.3","Ephrin.type.A.receptor.5","Cofilin.1","Proteasome.subunit.alpha.type.2","Elafin","ASGR1","IGFBP.2","FBLN3"
"X1.oleoyl.2.docosahexaenoyl.GPC..18.1.22.6..",0,0.0222166888165593,0.0312932070227672,0.0296396146881437,0.0263049352861302,0.0152666084486158,0.0301882287535456,0.0173302459491314,0.0408574016075362,0.0149960677741118,0.0397205400732172,0.0598710276103606,0.0349518315607787,0.0410915146853093,0.017105831279291,0.0127824247903511,0.0346456927892807,0.0177009413206686,0.0329660520269602,0.0292187449677945,0.027245196722233,0.0163286306790333,0.0130423499611235,0.0141039985982912,0.0161895076505086,0.0207452463543847,0.0205779576672211,0.0248949917636966,0.0361967235060299,0.0235605857319721,0.0335739771466304,0.0240003796690461,0.0291901807843334,0.0369375741786532,0.0300261307513784,0.0371662251607857,0.032352444176642,0.020176331157651,0.0372583265862007,0.00780158983477863,0.012959685095043,0.0142695844258854,0.00919022596985452,0.0178665816593508,0.0359465170569372,0.0380031018073946,0.0316593399797097,0.0176135813593598,0.0383628952066103,0.0372789695868877,0.0390680843299425,0.00231337719960869,0.0343940445330043,0.0301832758388857,0.00471740767746691
"X1.palmitoyl.2.stearoyl.GPC..16.0.18.0.",0.0222166888165593,0,0.0192528283852783,0.0180357410587658,0.0193131411904615,0.0133742046287936,0.01989171414695,0.0143471924263557,0.0233921428211713,0.0111642795083702,0.038171391588581,0.0350156554774193,0.0167945481814515,0.0208075099475947,0.0113284706114798,0.0123958826729689,0.0250413770675839,0.0113421221049354,0.0224811285658642,0.0175374463077343,0.0169925994620277,0.00983362707335397,0.00854343294730162,0.0137059023364481,0.0165801741920168,0.0152027168843202,0.0141795819049637,0.0154853512508099,0.0365466306717166,0.0180589736794257,0.0346230449415138,0.0160968319970401,0.0227480826627913,0.0229791030307284,0.0206288532235416,0.0260596401318177,0.0207782812618213,0.0146777761333876,0.0266096307067571,0.00512187464022344,0.00795437241545087,0.0161089464351567,0.00574563399301034,0.0109012096302243,0.0253061409150548,0.0234574608917698,0.0190517366148745,0.013390050888368,0.0248766567103311,0.0220653908105837,0.0232179845725589,0.00152714057603912,0.0252511864251029,0.0247030651932057,0.00313521738741782
"X3.acetylphenol.sulfate",0.0312932070227672,0.0192528283852783,0,0.029903771918183,0.0222109055132834,0.0134751775222454,0.0252538962000033,0.0167713510645101,0.0356123921063037,0.0137447850614951,0.0337688674810403,0.0415712133550664,0.0248716971688822,0.0343893452071764,0.0160632981634047,0.0100273599269288,0.0300050524975827,0.0156621968160741,0.0308402564993789,0.0268856701035566,0.0232451735076564,0.0136324725431686,0.011739355304973,0.0131241431383333,0.017331020906954,0.0181805403069702,0.0188144325454583,0.0198976800786986,0.0347255329051464,0.0211091562852028,0.0300849156733836,0.0224507888839841,0.0273210790188056,0.0338473863483491,0.027260098788226,0.0313837334484706,0.0268195159123588,0.0188652554328267,0.0340301036392762,0.00578200166816346,0.00987952824136729,0.0151242801189117,0.00805873191608637,0.0146053312304189,0.0319184540459214,0.0367452194558459,0.0275596002442762,0.0160744568189681,0.0334669012382174,0.0311160416031099,0.0347182992254531,0.00209931279868448,0.0288380646678988,0.0329785006434352,0.00357645840826085
"X3.hydroxycotinine.glucuronide",0.0296396146881437,0.0180357410587658,0.029903771918183,0,0.0247335677246317,0.0125863406098867,0.0296770938168379,0.0194059632495931,0.0337888301827446,0.014791170207935,0.0323871317643139,0.0494392433974446,0.0254910633293199,0.0369013611193864,0.018241833794125,0.0127647289339796,0.035649760858244,0.0180587475718844,0.0319554421616263,0.0295312854444697,0.0265105921178012,0.0170142113685333,0.0136049123872512,0.012443686175969,0.0172580806110539,0.0208367948177896,0.0182387901649437,0.0208365406325213,0.0365480055015382,0.0225667083384205,0.0318405851938682,0.0229660133892322,0.0292663671300645,0.0355232569936498,0.0323265773940256,0.0344397060265851,0.031710991482134,0.021385337504828,0.0322652947544065,0.00667586434934515,0.0112115807142707,0.0176398395379709,0.00885244430014383,0.0170360974590495,0.0353184884969233,0.0369991102652316,0.0308204769877995,0.019082456781739,0.0322082534668638,0.0300331808611569,0.0356946507818347,0.00229347872189409,0.0306800229303616,0.0351762836748584,0.00413929093205217
"X4.acetamidophenol",0.0263049352861302,0.0193131411904615,0.0222109055132834,0.0247335677246317,0,0.0122346531599552,0.0231346197045498,0.0150466972444131,0.0270372095846247,0.0114956943755814,0.0310415968465322,0.0385478012761336,0.020095904598415,0.0251749899628421,0.0120201061456006,0.0115066804199585,0.0276593723670111,0.0141996521358898,0.0255767995643784,0.0219052514152886,0.0207377664334423,0.0124392423526726,0.0105038838768955,0.0136587555338334,0.0140118165927306,0.0157261013797233,0.0155434119220492,0.0170124218308521,0.0276683961289932,0.0191540575485513,0.0214860543807125,0.0192975044494919,0.0222219143009246,0.0270484924322305,0.0252897989529662,0.0280919998050557,0.0248610433154503,0.0165255876982315,0.0275822453459646,0.00516216425691614,0.00902305195674943,0.0150438988017698,0.00659724334632685,0.0135066389695903,0.02989036600514,0.0289351284365024,0.0235024140835909,0.0138450846704588,0.0281120266961668,0.0255938058115272,0.0290574170693778,0.00187721652249102,0.0256109931180795,0.0277261943038774,0.00373689368778801
"X4.methylbenzenesulfonate",0.0152666084486158,0.0133742046287936,0.0134751775222454,0.0125863406098867,0.0122346531599552,0,0.0135690727598675,0.0100937030938246,0.0177413336102516,0.00829082408930145,0.0344291243119961,0.0343275312748738,0.0146264178268438,0.0169067452441372,0.00661453595600952,0.0122349909593834,0.0171461495622317,0.00833307909673478,0.0162350562681493,0.0116087287663516,0.0125163976402308,0.00815453912694489,0.00630866343065963,0.0153633153647769,0.0160044688583533,0.00799947279443632,0.00781684200323081,0.00961485801339643,0.0283115569363704,0.0109964283720163,0.038790028306123,0.0101093854926465,0.0129440199948364,0.0149416521023257,0.0134500204643851,0.0168653272343068,0.0135996820789306,0.0135056609037782,0.0223830072829408,0.00273326569586061,0.00608763165607033,0.0126807084991233,0.00454544710882642,0.00739403564251133,0.0174661063443266,0.0171762737352027,0.0120021403296859,0.00869077140332695,0.0164061133936761,0.0123298778563792,0.016541183172137,0.000827255077420721,0.0143964291372465,0.0181165226624293,0.00174583302013028
"X5.acetylamino.6.amino.3.methyluracil",0.0301882287535456,0.01989171414695,0.0252538962000033,0.0296770938168379,0.0231346197045498,0.0135690727598675,0,0.0166561755018636,0.0289424682214248,0.0132019719033494,0.0340347830566802,0.0467817280450907,0.0287867277752602,0.0316639896131592,0.0172247018239824,0.0116614026161317,0.0315569727112873,0.0157490966264842,0.0292816645636049,0.0242662345483575,0.0260595643196449,0.0153681026164942,0.0114476820570527,0.0136272631707706,0.0155575451974048,0.0184858161450689,0.0169108966119181,0.0212374638149229,0.0397935450841101,0.0217532774789016,0.030727749299398,0.022916423995853,0.0237448848355194,0.0351920506368014,0.0283585770260447,0.0336867207834184,0.0272942832593471,0.0183662537925418,0.0354092266851868,0.00699971660499712,0.0105319295562375,0.0114191782099623,0.0073953307312184,0.0158523306687175,0.0320742714325236,0.0287068472364007,0.026754877824508,0.0158368492857463,0.0334533030596435,0.0266994739709555,0.0317631015236217,0.0018529674320467,0.0271969744909999,0.0294230890663091,0.00403383516850128
"X5.acetylamino.6.formylamino.3.methyluracil",0.0173302459491314,0.0143471924263557,0.0167713510645101,0.0194059632495931,0.0150466972444131,0.0100937030938246,0.0166561755018636,0,0.0204603404353188,0.0101983572757776,0.0245210294840947,0.027581545535186,0.0168023301564715,0.0208456330633058,0.00917598552691699,0.0105370101758188,0.0247469762304888,0.0111698380016703,0.0190055982284828,0.0156214133717455,0.0153015274991069,0.00974858647293628,0.00722317083494115,0.0119578184227427,0.0141815747247086,0.0125356263976331,0.011538023309845,0.0131202395404184,0.0240769913012493,0.0142177081449672,0.0251122768533904,0.013933193922559,0.0162486716152736,0.0214449216422489,0.0193122589274781,0.0218417357389496,0.0171720164918595,0.0134541570503596,0.0231515752083425,0.00397202305480353,0.00649441770532608,0.0116407144995723,0.0043196177813902,0.0108887806255301,0.0208860181322918,0.0224457449960178,0.0170915391044143,0.0101319488460927,0.0181087073831375,0.019088569448633,0.0209906867926865,0.00140166417303354,0.0181390286212305,0.0218974916351605,0.00257946594082537
"X5.hydroxyhexanoate",0.0408574016075362,0.0233921428211713,0.0356123921063037,0.0337888301827446,0.0270372095846247,0.0177413336102516,0.0289424682214248,0.0204603404353188,0,0.0169874004875506,0.0411837439433823,0.0594694278582018,0.0326412229256086,0.0404055737489011,0.0195804523361617,0.0163800085861247,0.0403848618330433,0.020343325772968,0.0344777645862999,0.0313566976605209,0.0284839518342816,0.0177273741742295,0.013393386283864,0.019461588872443,0.0216967308992179,0.018960761208174,0.0216069931597693,0.0228608886745613,0.0343450216913439,0.0235102830427268,0.0443356869526344,0.0253043125089682,0.0318565069386788,0.040216775635194,0.0343921363103109,0.0386304302113713,0.0356174182685719,0.0247681980406335,0.0419353238786673,0.00705781250578013,0.0123324403035283,0.0167197884793474,0.00996489797445913,0.016316984078581,0.0390972164162384,0.0421927393185997,0.0313036925640215,0.018546770550679,0.0382450282896005,0.0372089719141356,0.0389583629472732,0.00252235238483627,0.0356905735504956,0.0412307638377269,0.00421967873684625
"X5.hydroxyindole.sulfate",0.0149960677741118,0.0111642795083702,0.0137447850614951,0.014791170207935,0.0114956943755814,0.00829082408930145,0.0132019719033494,0.0101983572757776,0.0169874004875506,0,0.0221603501906825,0.0250608968156726,0.0151854995855182,0.015653890963329,0.00825116154256617,0.00882346250019337,0.0185902231705471,0.00857952995446854,0.0138858818164961,0.0130618297816468,0.0132353637022205,0.00737863439654123,0.00634814447220676,0.00994896405947259,0.00951342706177955,0.0110585102984458,0.00908523150296046,0.0111949728363309,0.0189763520232027,0.0116270874841721,0.016934803884788,0.0113936594374486,0.0148148023309248,0.016559587449937,0.0143286102740475,0.0159242144701388,0.013692323787975,0.00881711369741867,0.0188676745941924,0.00317494667805681,0.00599859072555315,0.00956805599144623,0.00387043255778882,0.00824862703895218,0.0160477062393719,0.0182020466197995,0.015141624388234,0.00884910036318843,0.0169604420847872,0.015489647971666,0.0154180312590336,0.0011588557025539,0.0152144245314502,0.0169373251699123,0.00201845124253144
"androstenediol..3beta.17beta..monosulfate..2.",0.0397205400732172,0.038171391588581,0.0337688674810403,0.0323871317643139,0.0310415968465322,0.0344291243119961,0.0340347830566802,0.0245210294840947,0.0411837439433823,0.0221603501906825,0,0.0848899057342944,0.03674950199967,0.0343061427036556,0.0161780742562122,0.0226385915182427,0.0472246801194717,0.0189562513864336,0.0415100839345918,0.0294874894387503,0.0292347601548322,0.0211042111366419,0.0149875670627946,0.0326384963635641,0.0318507110618971,0.0232658293657009,0.0237225791715781,0.0270039123015016,0.0716102195716659,0.0288093483069509,0.0862214760648806,0.0285950594555022,0.0334044004866729,0.0429445001549619,0.0350502379910389,0.0411392663816124,0.0367887567559772,0.0336995309324403,0.0563590860719412,0.00931273029177116,0.015091836465608,0.0326628465611871,0.0111605856755833,0.021544762224768,0.0440132348145032,0.0447322979888866,0.0343854410327173,0.0218035301120872,0.0455778639484251,0.0321038285930554,0.0433182829706375,0.0021159073878374,0.0394524903616103,0.040685060390394,0.00596728518180987
"androsterone.glucuronide",0.0598710276103606,0.0350156554774193,0.0415712133550664,0.0494392433974446,0.0385478012761336,0.0343275312748738,0.0467817280450907,0.027581545535186,0.0594694278582018,0.0250608968156726,0.0848899057342944,0,0.0521456228898288,0.0541380580590731,0.0247136011382443,0.0274394233135715,0.0594028738342478,0.0293571506280157,0.0521343719291149,0.0424863746576536,0.0412721780557983,0.0276651763669532,0.0236805633802616,0.0287965270917941,0.0348932238461249,0.0309025310784665,0.0300724622027614,0.0353567799206388,0.0911598679410014,0.0394744615378842,0.0717990503138719,0.0345286972645023,0.0426213626310987,0.0537224988179365,0.0486760653652819,0.0562681896075978,0.0462443192497534,0.0434156371645166,0.0703817987939637,0.0129245759601919,0.0222305593660582,0.0308419653366846,0.0159570951818087,0.0285548979697737,0.0594762039759077,0.0512606978847111,0.0467704904177741,0.0280670271555874,0.0559930581834291,0.0483343917906875,0.0540805152215107,0.0025132220607284,0.0549924007175412,0.0500886103720754,0.00774312515835362
"aspartate",0.0349518315607787,0.0167945481814515,0.0248716971688822,0.0254910633293199,0.020095904598415,0.0146264178268438,0.0287867277752602,0.0168023301564715,0.0326412229256086,0.0151854995855182,0.03674950199967,0.0521456228898288,0,0.0355108391293328,0.0150175998116664,0.0152461135504171,0.0294861661751187,0.0155881223731397,0.0264359281915512,0.0261732555752661,0.0250737806844698,0.0137411205596663,0.0111978904827673,0.0169938117864962,0.0189244628435968,0.0175025254591202,0.0179060907406092,0.0199703413594023,0.0417742774357743,0.0215847018028912,0.0283880892562223,0.023472835234861,0.0236709815047456,0.0344663006015379,0.0261369992554658,0.0308111704620411,0.0252769674373822,0.0174926831123233,0.0370192260734271,0.00685283139376502,0.0109781387393435,0.0107456370910784,0.00777842570907772,0.0149344796204153,0.0289987328341421,0.0326841580816916,0.0291689840234358,0.0143058048411232,0.0309832450562506,0.0292477448815426,0.0328161415458215,0.00140377772687127,0.0296777044290066,0.0280886094382694,0.00407832004780038
"beta.sitosterol",0.0410915146853093,0.0208075099475947,0.0343893452071764,0.0369013611193864,0.0251749899628421,0.0169067452441372,0.0316639896131592,0.0208456330633058,0.0404055737489011,0.015653890963329,0.0343061427036556,0.0541380580590731,0.0355108391293328,0,0.0192218831023359,0.0150397271947405,0.0350747830623239,0.0204054271882452,0.0354151848268998,0.032999877398337,0.0282939908118315,0.0172028198642987,0.0140812518487731,0.0149338643106188,0.0205713022817282,0.0216146655512989,0.0204927934370438,0.0252875296383909,0.0370352617656595,0.0260386920259648,0.0400225728610169,0.0272509244428409,0.0315832370458545,0.0423878433303306,0.034400695259735,0.0421583560847402,0.0343506192309354,0.0223667497893952,0.0398102326739447,0.0071011732205961,0.010430379146059,0.0159162292225853,0.00939041869187092,0.0199026070552523,0.0391323006129904,0.0469703383575464,0.031005492850204,0.018848604718779,0.0367116731381714,0.0363400079915039,0.0416709594638292,0.00266169717098451,0.0338279098606603,0.0364471154548817,0.00366432116106046
"citrulline",0.017105831279291,0.0113284706114798,0.0160632981634047,0.018241833794125,0.0120201061456006,0.00661453595600952,0.0172247018239824,0.00917598552691699,0.0195804523361617,0.00825116154256617,0.0161780742562122,0.0247136011382443,0.0150175998116664,0.0192218831023359,0,0.00621212113850587,0.01780786864959,0.00963171329609778,0.017529772599162,0.0163809735430237,0.0157249821606716,0.00918866610252574,0.00699699705100356,0.00682227718387214,0.00940393162637439,0.0111879186504465,0.00986922919910054,0.0121122117648477,0.0176485451559536,0.011656106998175,0.0171720985955228,0.0132988018897783,0.0169663048638549,0.0231026570800629,0.0173364565147556,0.019334992759929,0.0153636162775729,0.0110532039589837,0.0190541445210084,0.00317971442437491,0.00585544054357279,0.00899705135540123,0.00453176210986995,0.00939932792993798,0.0183211325736032,0.019326584769894,0.0165123340969547,0.0103199950753845,0.0188643240869283,0.0154238732753883,0.0184396278818412,0.00133519836376296,0.0172260999824812,0.0197949703918196,0.00180008597288372
"diacylglycerol..14.0.18.1..16.0.16.1...1..",0.0127824247903511,0.0123958826729689,0.0100273599269288,0.0127647289339796,0.0115066804199585,0.0122349909593834,0.0116614026161317,0.0105370101758188,0.0163800085861247,0.00882346250019337,0.0226385915182427,0.0274394233135715,0.0152461135504171,0.0150397271947405,0.00621212113850587,0,0.015514816866439,0.0102441249074041,0.0123752179999608,0.0103498685368682,0.0115200161181457,0.00684477256067008,0.00445308111039936,0.0181550239142617,0.017368906868466,0.00778705309663483,0.00682416121737355,0.00947847478176935,0.0296989555169991,0.0105526251223473,0.0230555956421932,0.00915504486420269,0.0118598563155617,0.00992934805097824,0.0124717712740718,0.0145645879119627,0.0114826016257063,0.0112739182938564,0.0142425541281957,0.00249207378654169,0.00491422193183284,0.00977742906429646,0.0042054282066519,0.00878646671827639,0.0137926572774175,0.0137311848461776,0.0114304475969653,0.0104129492950333,0.0118527911140291,0.00869172091135686,0.0132142784005744,0.000571974705449054,0.0123661492645648,0.016505336907176,0.00189333295196131
"dodecenedioate..C12.1.DC..",0.0346456927892807,0.0250413770675839,0.0300050524975827,0.035649760858244,0.0276593723670111,0.0171461495622317,0.0315569727112873,0.0247469762304888,0.0403848618330433,0.0185902231705471,0.0472246801194717,0.0594028738342478,0.0294861661751187,0.0350747830623239,0.01780786864959,0.015514816866439,0,0.0194122589436025,0.0335286614157817,0.0286993106369903,0.0283982133579544,0.017431529032369,0.0132767129068172,0.0198896047472669,0.0210067947985263,0.0230159856181448,0.0199639840412323,0.0248911959606355,0.0422446135514072,0.0273907320439432,0.0374788634527938,0.0246417804564527,0.0299185723816941,0.0389856406520342,0.0339411743441786,0.0416044519311367,0.0330444900263154,0.0227940377425172,0.0398189254363533,0.00778436603766235,0.0133045289641892,0.0189570100448542,0.00886252973241282,0.0171135939879611,0.0381925573146328,0.0381339540233929,0.0303684883127102,0.0200855402604277,0.0362976582367533,0.0383731936122845,0.0377719720370924,0.00272346744642322,0.0378290143991575,0.0382457733578648,0.00578983701423074
