"","l1","l2","l3","TrainMetric","TestMetric"
"1",0.5,0.5,0.5,0.790376993735496,0.668156424581006
"2",0.6,0.5,0.5,0.797334195977855,0.670397268777157
"3",0.7,0.5,0.5,0.807913342967058,0.662607076350093
"4",0.8,0.5,0.5,0.812924171222024,0.672638112973309
"5",0.9,0.5,0.5,0.812924171222024,0.672638112973309
"6",0.5,0.6,0.5,0.775052785321613,0.657008069522036
"7",0.6,0.6,0.5,0.781735310183983,0.675959031657356
"8",0.7,0.6,0.5,0.793430987792547,0.673724394785847
"9",0.8,0.6,0.5,0.801782109940687,0.671539416511483
"10",0.9,0.6,0.5,0.801782109940687,0.671539416511483
"11",0.5,0.7,0.5,0.777834426489902,0.664816883923029
"12",0.6,0.7,0.5,0.780618779564623,0.671452513966481
"13",0.7,0.7,0.5,0.795097260587089,0.675952824332713
"14",0.8,0.7,0.5,0.803731195834512,0.670409683426443
"15",0.9,0.7,0.5,0.803174092770445,0.670409683426443
"16",0.5,0.8,0.5,0.778112203191527,0.667051520794538
"17",0.6,0.8,0.5,0.781731436031939,0.670341402855369
"18",0.7,0.8,0.5,0.795930203276758,0.677063935443824
"19",0.8,0.8,0.5,0.80456491335459,0.669292364990689
"20",0.9,0.8,0.5,0.803729258758489,0.669292364990689
"21",0.5,0.9,0.5,0.77839075472356,0.667051520794538
"22",0.6,0.9,0.5,0.781731823447143,0.670341402855369
"23",0.7,0.9,0.5,0.796487306340825,0.677063935443824
"24",0.8,0.9,0.5,0.80456491335459,0.669292364990689
"25",0.9,0.9,0.5,0.803729258758489,0.669292364990689
"26",0.5,0.5,0.6,0.783408943867411,0.668168839230292
"27",0.6,0.5,0.6,0.794267804634261,0.682638112973309
"28",0.7,0.5,0.6,0.805680669143541,0.669292364990689
"29",0.8,0.5,0.6,0.809575354194351,0.670434512725016
"30",0.9,0.5,0.6,0.809575354194351,0.670434512725016
"31",0.5,0.6,0.6,0.774774233789579,0.675940409683426
"32",0.6,0.6,0.6,0.790638498998532,0.679310986964618
"33",0.7,0.6,0.6,0.798155903626594,0.661514587212911
"34",0.8,0.6,0.6,0.807344230031652,0.66707635009311
"35",0.9,0.6,0.6,0.807344230031652,0.66707635009311
"36",0.5,0.7,0.6,0.775889602163326,0.677045313469894
"37",0.6,0.7,0.6,0.782569415119266,0.669261328367474
"38",0.7,0.7,0.6,0.789251165151228,0.671514587212911
"39",0.8,0.7,0.6,0.801777848373437,0.672625698324022
"40",0.9,0.7,0.6,0.802613502969537,0.672625698324022
"41",0.5,0.8,0.6,0.776445155566575,0.675940409683426
"42",0.6,0.8,0.6,0.784795115469102,0.667032898820608
"43",0.7,0.8,0.6,0.790920537267406,0.6704034761018
"44",0.8,0.8,0.6,0.805117754851407,0.677088764742396
"45",0.9,0.8,0.6,0.80456065178734,0.675977653631285
"46",0.5,0.9,0.6,0.777280422747471,0.674829298572315
"47",0.6,0.9,0.6,0.784794728053897,0.667032898820608
"48",0.7,0.9,0.6,0.79092092468261,0.6704034761018
"49",0.8,0.9,0.6,0.805117754851407,0.677088764742396
"50",0.9,0.9,0.6,0.80456065178734,0.675977653631285
"51",0.5,0.5,0.7,0.775334823590487,0.687051520794538
"52",0.6,0.5,0.7,0.785914745410098,0.687063935443824
"53",0.7,0.5,0.7,0.789254264472863,0.682638112973309
"54",0.8,0.5,0.7,0.794821808376692,0.682650527622595
"55",0.9,0.5,0.7,0.794821808376692,0.682650527622595
"56",0.5,0.6,0.7,0.772268044831687,0.667020484171322
"57",0.6,0.6,0.7,0.779788161366181,0.675952824332713
"58",0.7,0.6,0.7,0.794543644259863,0.659286157666046
"59",0.8,0.6,0.7,0.797887424889877,0.669298572315332
"60",0.9,0.6,0.7,0.797887424889877,0.669298572315332
"61",0.5,0.7,0.7,0.781173945552667,0.671489757914339
"62",0.6,0.7,0.7,0.78200727565754,0.673736809435133
"63",0.7,0.7,0.7,0.7962095296392,0.674847920546245
"64",0.8,0.7,0.7,0.80094335602295,0.671514587212911
"65",0.9,0.7,0.7,0.80094335602295,0.671514587212911
"66",0.5,0.8,0.7,0.7806168424886,0.671489757914339
"67",0.6,0.8,0.7,0.782841768008027,0.671502172563625
"68",0.7,0.8,0.7,0.795096098341476,0.67707635009311
"69",0.8,0.8,0.7,0.799831086970839,0.67374922408442
"70",0.9,0.8,0.7,0.799831086970839,0.67374922408442
"71",0.5,0.9,0.7,0.7797811878925,0.671489757914339
"72",0.6,0.9,0.7,0.782841768008027,0.671502172563625
"73",0.7,0.9,0.7,0.795653201405542,0.675965238981999
"74",0.8,0.9,0.7,0.799831086970839,0.67374922408442
"75",0.9,0.9,0.7,0.799831086970839,0.67374922408442
"76",0.5,0.5,0.8,0.750554584865238,0.670360024829299
"77",0.6,0.5,0.8,0.75667729475711,0.672582247051521
"78",0.7,0.5,0.8,0.756403004792326,0.675977653631285
"79",0.8,0.5,0.8,0.759466684229489,0.669304779639975
"80",0.9,0.5,0.8,0.759466684229489,0.669304779639975
"81",0.5,0.6,0.8,0.753896815834434,0.667008069522036
"82",0.6,0.6,0.8,0.753897590664843,0.674810676598386
"83",0.7,0.6,0.8,0.758074701399731,0.681527001862197
"84",0.8,0.6,0.8,0.762253361795437,0.669286157666046
"85",0.9,0.6,0.8,0.762253361795437,0.669286157666046
"86",0.5,0.7,0.8,0.760580115527214,0.671464928615767
"87",0.6,0.7,0.8,0.751671502899803,0.678144009931719
"88",0.7,0.7,0.8,0.760023787293556,0.674816883923029
"89",0.8,0.7,0.8,0.764200123198035,0.669304779639975
"90",0.9,0.7,0.8,0.764200123198035,0.669304779639975
"91",0.5,0.8,0.8,0.760301951410385,0.675934202358783
"92",0.6,0.8,0.8,0.755287636418579,0.674792054624457
"93",0.7,0.8,0.8,0.759744460931114,0.678150217256362
"94",0.8,0.8,0.8,0.764477899899659,0.669298572315332
"95",0.9,0.8,0.8,0.764477899899659,0.669298572315332
"96",0.5,0.9,0.8,0.760301951410385,0.675934202358783
"97",0.6,0.9,0.8,0.755287636418579,0.674792054624457
"98",0.7,0.9,0.8,0.759744460931114,0.678150217256362
"99",0.8,0.9,0.8,0.764477899899659,0.669298572315332
"100",0.9,0.9,0.8,0.764477899899659,0.669298572315332
"101",0.5,0.5,0.9,0.71353202567788,0.681483550589696
"102",0.6,0.5,0.9,0.713807865303482,0.670347610180012
"103",0.7,0.5,0.9,0.719099956996912,0.663699565487275
"104",0.8,0.5,0.9,0.722714928270075,0.663674736188703
"105",0.9,0.5,0.9,0.722714928270075,0.663674736188703
"106",0.5,0.6,0.9,0.714367292858776,0.674804469273743
"107",0.6,0.6,0.9,0.717986138283983,0.662569832402235
"108",0.7,0.6,0.9,0.731346926441475,0.663693358162632
"109",0.8,0.6,0.9,0.727450304314643,0.657008069522036
"110",0.9,0.6,0.9,0.727450304314643,0.657008069522036
"111",0.5,0.7,0.9,0.722716477930893,0.661440099317194
"112",0.6,0.7,0.9,0.721327981837975,0.664792054624457
"113",0.7,0.7,0.9,0.727729630677086,0.663699565487275
"114",0.8,0.7,0.9,0.726337647847327,0.655890751086282
"115",0.9,0.7,0.9,0.726337647847327,0.655890751086282
"116",0.5,0.8,0.9,0.722716477930893,0.661440099317194
"117",0.6,0.8,0.9,0.721327981837975,0.664792054624457
"118",0.7,0.8,0.9,0.727729630677086,0.664810676598386
"119",0.8,0.8,0.9,0.726337647847327,0.655890751086282
"120",0.9,0.8,0.9,0.726337647847327,0.655890751086282
"121",0.5,0.9,0.9,0.722716477930893,0.661440099317194
"122",0.6,0.9,0.9,0.721327981837975,0.664792054624457
"123",0.7,0.9,0.9,0.727729630677086,0.664810676598386
"124",0.8,0.9,0.9,0.726337647847327,0.655890751086282
"125",0.9,0.9,0.9,0.726337647847327,0.655890751086282
